step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score
103,2024-01-15 07:44:00,9f8d9dc0,5,0,9176,13866,0,0,0.0,9,7,18,0.3888888888888889,1.7142857142857142,2.0,0.75,3,2,0,39.28007134020488,551,1802,0.0,0.0,0,0.9,31.714285714285715,0.0003605942593393913,0.8999999999999999,0.9996394057406606,0.7612730478338169
104,2024-01-15 07:45:00,9f8d9dc0,4,0,9198,13999,0,0,0.0,9,7,18,0.3888888888888889,1.4285714285714286,3.0,0.75,3,2,0,39.26278100896728,552,1808,0.0,0.0,0,0.9,31.428571428571427,0.0002857346953353811,0.8999999999999999,0.9997142653046647,0.7641255538540862
105,2024-01-15 07:46:00,9f8d9dc0,2,0,9235,14134,0,0,0.0,11,11,18,0.6111111111111112,1.6,4.0,0.9166666666666666,3,2,0,39.20307759092058,561,1819,0.0,0.0,0,0.9,31.6,0.00014150275930380644,1.0999999999999999,0.9998584972406962,0.7623495540781196
106,2024-01-15 07:47:00,9f8d9dc0,4,0,9274,14267,0,0,0.0,12,9,18,0.5,1.8888888888888888,5.0,1.0,3,2,0,39.16318181747647,568,1836,0.0,0.0,0,0.9,31.88888888888889,0.00028036728113829115,1.2000000000000002,0.9997196327188617,0.7593253278336087
107,2024-01-15 07:48:00,9f8d9dc0,7,0,9305,14401,0,0,0.0,12,10,18,0.5555555555555556,1.3,3.0,1.0,3,2,0,39.10826155977028,573,1861,0.0,0.0,0,0.9,31.3,0.00048607735573918476,1.2000000000000002,0.9995139226442609,0.7650220921772449
108,2024-01-15 07:49:00,9f8d9dc0,4,0,9334,14534,0,0,0.0,12,11,18,0.6111111111111112,1.6363636363636365,3.0,1.0,3,2,0,39.1011749647192,569,1869,0.0,0.0,0,0.9,31.636363636363637,0.0002752167331773772,1.2000000000000002,0.9997247832668226,0.7617286268725312
109,2024-01-15 07:50:00,9f8d9dc0,7,0,9362,14668,0,0,0.0,12,7,18,0.3888888888888889,2.0,4.0,1.0,3,2,0,39.08276596889178,572,1890,0.0,0.0,0,0.9,32.0,0.0004772293427870194,1.2000000000000002,0.999522770657213,0.7579746402006687
110,2024-01-15 07:51:00,9f8d9dc0,2,0,9411,14801,0,0,0.0,12,15,18,0.8333333333333334,1.6666666666666667,5.0,1.0,3,2,0,38.96852854459612,589,1934,0.0,0.0,0,0.9,31.666666666666668,0.00013512600499966218,1.2000000000000002,0.9998648739950003,0.7612163400205256
111,2024-01-15 07:52:00,9f8d9dc0,11,0,9446,14934,0,0,0.0,12,7,18,0.3888888888888889,1.5714285714285714,2.0,1.0,3,3,0,38.88841697693587,597,1951,0.0,0.0,0,0.9,31.571428571428573,0.0007365742600776751,1.2000000000000002,0.9992634257399223,0.761767918535555
112,2024-01-15 07:53:00,9f8d9dc0,3,0,9481,15067,0,0,0.0,12,15,18,0.8333333333333334,1.4,3.0,1.0,3,3,0,38.79447555949794,602,1988,0.0,0.0,0,0.9,31.4,0.00019911063914515166,1.2000000000000002,0.9998008893608549,0.7635093068633378
113,2024-01-15 07:54:00,9f8d9dc0,8,0,9506,15200,0,0,0.0,12,10,18,0.5555555555555556,1.6,2.0,1.0,3,3,0,38.757890809817894,622,1975,0.0,0.0,0,0.9,31.6,0.0005263157894736842,1.2000000000000002,0.9994736842105263,0.7613052553038463
114,2024-01-15 07:55:00,9f8d9dc0,5,0,9540,15333,0,0,0.0,12,13,18,0.7222222222222222,1.6153846153846154,3.0,1.0,3,3,0,38.69357740536906,653,2005,0.0,0.0,0,0.9,31.615384615384617,0.00032609404552272873,1.2000000000000002,0.9996739059544772,0.7611028710386829
115,2024-01-15 07:56:00,9f8d9dc0,6,0,9565,15467,0,0,0.0,12,12,18,0.6666666666666666,1.8333333333333333,4.0,1.0,3,3,0,38.67228439519096,652,2024,0.0,0.0,0,0.9,31.833333333333332,0.0003879226740803,1.2000000000000002,0.9996120773259197,0.7588560663874167
116,2024-01-15 07:57:00,9f8d9dc0,9,0,9568,15600,0,0,0.0,12,9,18,0.5,1.5555555555555556,3.0,1.0,3,3,0,38.72106975079726,628,2029,0.0,0.0,0,0.9,31.555555555555557,0.000576923076923077,1.2000000000000002,0.999423076923077,0.7616558147152698
117,2024-01-15 07:58:00,9f8d9dc0,4,0,9593,15733,0,0,0.0,12,13,18,0.7222222222222222,1.5384615384615385,4.0,1.0,3,3,0,38.67427901021505,625,2036,0.0,0.0,0,0.9,31.53846153846154,0.00025424267463293714,1.2000000000000002,0.9997457573253671,0.7618622455659616
118,2024-01-15 07:59:00,9f8d9dc0,10,0,9615,15867,0,0,0.0,12,8,18,0.4444444444444444,1.75,5.0,1.0,3,3,0,38.66060283133462,624,2046,0.0,0.0,0,0.9,31.75,0.0006302388605281402,1.2000000000000002,0.9993697611394718,0.7595691101184581
119,2024-01-15 08:00:00,9f8d9dc0,2,0,9639,16000,0,0,0.0,12,15,18,0.8333333333333334,1.4,3.0,1.0,3,3,0,38.62089453834511,630,2043,0.0,0.0,0,0.9,31.4,0.000125,1.2000000000000002,0.999875,0.7631917890766903
120,2024-01-15 08:01:00,9f8d9dc0,7,0,9659,16133,0,0,0.0,12,11,18,0.6111111111111112,2.0,3.0,1.0,3,3,0,38.56197382408554,644,2052,0.0,0.0,0,0.9,32.0,0.00043389326225748464,1.2000000000000002,0.9995661067377425,0.7569503903432682
121,2024-01-15 08:02:00,9f8d9dc0,7,0,9680,16266,0,0,0.0,12,11,18,0.6111111111111112,1.6363636363636365,4.0,1.0,3,3,0,38.529996043640445,647,2064,0.0,0.0,0,0.9,31.636363636363637,0.00043034550596335916,1.2000000000000002,0.9995696544940367,0.7605242175212592
122,2024-01-15 08:03:00,9f8d9dc0,4,0,9704,16400,0,0,0.0,12,13,18,0.7222222222222222,1.6923076923076923,4.0,1.0,3,3,0,38.52482119944096,664,2097,0.0,0.0,0,0.9,31.692307692307693,0.00024390243902439024,1.2000000000000002,0.9997560975609756,0.7600290045001953
123,2024-01-15 08:04:00,9f8d9dc0,8,0,9740,16535,0,0,0.0,12,10,18,0.5555555555555556,1.7,3.0,1.0,3,3,0,38.44876229147492,670,2129,0.0,0.0,0,0.9,31.7,0.00048382219534321135,1.2000000000000002,0.9995161778046567,0.7597039957048125
124,2024-01-15 08:05:00,9f8d9dc0,2,0,9774,16668,0,0,0.0,12,16,18,0.8888888888888888,1.6875,4.0,1.0,3,3,0,38.38549641108147,681,2161,0.0,0.0,0,0.9,31.6875,0.00011999040076793856,1.2000000000000002,0.9998800095992321,0.7598479966618558
125,2024-01-15 08:06:00,9f8d9dc0,6,0,9793,16801,0,0,0.0,12,12,18,0.6666666666666666,2.0833333333333335,5.0,1.0,3,3,0,38.32996709832183,673,2172,0.0,0.0,0,0.9,32.083333333333336,0.0003571215999047676,1.2000000000000002,0.9996428784000952,0.7556837522233484
126,2024-01-15 08:07:00,9f8d9dc0,7,0,9801,16934,0,0,0.0,12,11,18,0.6111111111111112,1.9090909090909092,3.0,1.0,3,3,0,38.31715123968041,667,2169,0.0,0.0,0,0.9,31.90909090909091,0.00041336955237982755,1.2000000000000002,0.9995866304476202,0.7573780455674999
127,2024-01-15 08:08:00,9f8d9dc0,7,0,9808,17068,0,0,0.0,12,11,18,0.6111111111111112,1.5454545454545454,4.0,1.0,3,3,0,38.32585166525922,663,2153,0.0,0.0,0,0.9,31.545454545454547,0.0004101242090461683,1.2000000000000002,0.9995898757909538,0.7610331081923545
