step,timestamp,simulation_id,cars_quit_waiting,cars_zero_battery,vehicles_on_road,vehicles_entered,vehicles_exited,vehicles_stranded,completion_rate,total_charging,total_queued,total_waiting_spots,queue_occupancy_rate,avg_wait_time_minutes,max_wait_time_minutes,charging_utilization,num_stations,stations_over_capacity,stations_with_abandonments,avg_soc_percent,critical_battery_count,low_battery_count,throughput_vehicles_per_hour,avg_trip_duration_minutes,energy_consumption_total_kwh,charging_efficiency,station_turnaround_time,abandonment_rate,estimated_revenue,service_level,customer_satisfaction_score
72,2024-01-15 07:13:00,89b62ac4,1,0,1564,1902,0,0,0.0,6,5,18,0.2777777777777778,2.4,4.0,0.5,3,1,0,42.32544970741417,76,249,0.0,0.0,0,0.9,32.4,0.0005257623554153522,0.6000000000000001,0.9994742376445847,0.7604405944726622
73,2024-01-15 07:14:00,89b62ac4,3,0,1591,1939,0,0,0.0,8,4,18,0.2222222222222222,2.0,3.0,0.6666666666666666,3,1,0,42.3136081462402,80,259,0.0,0.0,0,0.9,32.0,0.0015471892728210418,0.8,0.998452810727179,0.764008340583352
74,2024-01-15 07:15:00,89b62ac4,1,0,1610,1966,0,0,0.0,8,7,18,0.3888888888888889,1.6666666666666667,4.0,0.6666666666666666,3,0,0,42.05687537109981,87,274,0.0,0.0,0,0.9,31.666666666666668,0.000508646998982706,0.8,0.9994913530010173,0.7672436252759399
75,2024-01-15 07:16:00,89b62ac4,2,0,1616,1989,0,0,0.0,8,7,18,0.3888888888888889,1.7142857142857142,3.0,0.6666666666666666,3,1,0,41.99848370223197,84,269,0.0,0.0,0,0.9,31.714285714285715,0.001005530417295123,0.8,0.9989944695827049,0.7664518980946887
76,2024-01-15 07:17:00,89b62ac4,6,0,1625,2013,0,0,0.0,8,5,18,0.2777777777777778,1.2,2.0,0.6666666666666666,3,1,0,41.893688992086574,86,281,0.0,0.0,0,0.9,31.2,0.0029806259314456036,0.8,0.9970193740685543,0.7705951276115949
77,2024-01-15 07:18:00,89b62ac4,1,0,1628,2032,0,0,0.0,8,7,18,0.3888888888888889,1.7142857142857142,3.0,0.6666666666666666,3,0,0,41.67106367757164,86,279,0.0,0.0,0,0.9,31.714285714285715,0.0004921259842519685,0.8,0.999507874015748,0.7660024198185855
78,2024-01-15 07:19:00,89b62ac4,3,0,1631,2056,0,0,0.0,8,7,18,0.3888888888888889,1.8571428571428572,4.0,0.6666666666666666,3,1,0,41.68009456665796,77,277,0.0,0.0,0,0.9,31.857142857142858,0.0014591439688715954,0.8,0.9985408560311284,0.7642051029743387
79,2024-01-15 07:20:00,89b62ac4,5,0,1661,2094,0,0,0.0,8,6,18,0.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,3,1,0,41.56877500954687,88,286,0.0,0.0,0,0.9,31.333333333333332,0.002387774594078319,0.8,0.9976122254059216,0.768849106848129
80,2024-01-15 07:21:00,89b62ac4,3,0,1664,2121,0,0,0.0,8,9,18,0.5,1.4444444444444444,3.0,0.6666666666666666,3,2,0,41.61047442823892,81,280,0.0,0.0,0,0.9,31.444444444444443,0.0014144271570014145,0.8,0.9985855728429985,0.768210733549233
81,2024-01-15 07:22:00,89b62ac4,5,0,1680,2149,0,0,0.0,8,6,18,0.3333333333333333,1.6666666666666667,2.0,0.6666666666666666,3,1,0,41.450211953118995,90,285,0.0,0.0,0,0.9,31.666666666666668,0.002326663564448581,0.8,0.9976733364355514,0.7653030918137919
